PC;Etapa 2 Fase 2;1;2;3;4;X1;N1;N2
Relatório e equipamento de voo;equipamentos a bordo e suas capacidades;M;C;A;E;X;X;X
Inspeções;rotinas operacionais;M;C;A;E;X;X;X
Partida;rotinas operacionais;M;C;A;E;X;X;X
Cheques;rotinas operacionais;M;C;A;E;X;X;X
Fraseologia aeronáutica;fraseologia aeronáutica;M;C;A;E;X;X;X
Rolagem;operação da aeronave, performance da aeronave;M;A;E;X;X;X;X
Decolagem normal;operação da aeronave, performance da aeronave;M;;;E;X;X;X
Decolagem curta;operação da aeronave, performance da aeronave;;M;E;E;X;;
Subida para de a área instrução;operação da aeronave, rotinas operacionais, regras de tráfego aéreo;M;C;A;E;X;;
Nivelamento;operação da aeronave, performance da aeronave;M;C;A;E;X;X;X
Apresentação da área de instrução;regras de tráfego aéreo;M;C;A;E;X;;
Uso dos comandos;operação da aeronave;M;C;A;E;X;X;X
Uso do motor;operação da aeronave, performance da aeronave;M;C;A;E;X;X;X
Uso dos compensadores;operação da aeronave, performance da aeronave, rotinas operacionais;M;C;A;E;X;X;X
Rotas e curvas subindo;operação da aeronave, performance da aeronave;M;C;A;E;X;X;X
Rotas e curvas descendo;operação da aeronave, performance da aeronave;M;C;A;E;X;X;X
Voo nivelado;operação da aeronave, performance da aeronave;M;C;A;E;X;X;X
Curvas de pequena e média inclinações;operação da aeronave, performance da aeronave;M;C;A;E;X;X;X
Curva de grande inclinação;operação da aeronave, performance da aeronave;;M;C;E;X;;
Estol com motor (1º e 2º tipos);operação da aeronave, performance da aeronave, rotinas operacionais, recuperação de atitudes anormais;;M;E;;X;;
Estol sem motor (1º e 2º tipos);operação da aeronave, performance da aeronave, rotinas operacionais, recuperação de atitudes anormais;;M;E;;X;;
Voo em retângulo;operação da aeronave, performance da aeronave;;;M;E;X;;
Pane simulada;rotinas operacionais, diagnóstico e recuperação de panes;;;;M;X;;
Pane simulada a baixa altura;rotinas operacionais, diagnóstico e recuperação de panes;;;;M;X;;
Descida para o tráfego;rotinas operacionais, regras de tráfego aéreo;M;C;A;E;X;;
Entrada no tráfego;rotinas operacionais, regras de tráfego aéreo;M;C;A;E;X;X;X
Pouso normal;operação da aeronave, performance da aeronave;M;A;;E;X;X;X
Pouso curto;operação da aeronave, performance da aeronave;;;M;E;X;;
Emergências após a decolagem;procedimentos de emergência após a decolagem;;;M;;;;
Emergências durante o voo;procedimentos de emergência em voo;;M;;;;;
Ads;;SWNS;SWNS;SWNS;SWNS;SWNS;SWNS;SWNS
Route;;SWNS SBR606 SWNS;SWNS SBR606 SWNS;SWNS SBR606 SWNS;SWNS SBR606 SWNS;SWNS SBR606 SWNS;SWNS SBR606 SWNS;SWNS SBR606 SWNS
Tipo de voo;;DC;DC;DC;DC;DC;DC;DC
Duração;;1;1;1;1;1;1;1
Números de pousos;;3;5;4;5;5;5;5
